customerID,risk_score,top_risk_drivers
7590-VHVEG,61.86,tenure; TotalCharges; InternetService Fiber optic
5575-GNVDE,6.88,tenure; InternetService Fiber optic; Contract One year
3668-QPYBK,46.63,tenure; TotalCharges; InternetService Fiber optic
7795-CFOCW,6.55,tenure; InternetService Fiber optic; Contract One year
9237-HQITU,70.64,tenure; TotalCharges; InternetService Fiber optic
9305-CDSKC,84.59,tenure; InternetService Fiber optic; MonthlyCharges
1452-KIOVK,30.07,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
6713-OKOMC,21.25,InternetService Fiber optic; tenure; OnlineSecurity Yes
7892-POOKP,43.53,InternetService Fiber optic; PaymentMethod Electronic check; tenure
6388-TABGU,6.4,tenure; InternetService Fiber optic; Contract One year
9763-GRSKD,11.94,InternetService Fiber optic; OnlineSecurity Yes; PaymentMethod Electronic check
7469-LKBCI,5.81,Contract Two year; InternetService Fiber optic; OnlineSecurity No internet service
8091-TTVAX,16.0,tenure; Contract One year; InternetService Fiber optic
0280-XJGEX,32.77,tenure; InternetService Fiber optic; TotalCharges
5129-JLPIS,32.79,InternetService Fiber optic; PaymentMethod Electronic check; MonthlyCharges
3655-SNQYZ,5.9,Contract Two year; tenure; TotalCharges
8191-XWSZG,5.57,tenure; InternetService Fiber optic; Contract One year
9959-WOFKT,8.86,Contract Two year; tenure; TotalCharges
4190-MFLUW,13.33,InternetService Fiber optic; tenure; MonthlyCharges
4183-MYFRB,42.74,InternetService Fiber optic; PaymentMethod Electronic check; Contract Two year
8779-QRDMV,86.89,tenure; TotalCharges; PaymentMethod Electronic check
1680-VDCWW,7.03,InternetService Fiber optic; Contract One year; TotalCharges
1066-JKSGK,27.69,tenure; TotalCharges; InternetService Fiber optic
3638-WEABW,5.92,Contract Two year; tenure; InternetService Fiber optic
6322-HRPFA,7.44,InternetService Fiber optic; tenure; Contract Two year
6865-JZNKO,10.14,InternetService Fiber optic; tenure; OnlineSecurity Yes
6467-CHFZW,41.86,InternetService Fiber optic; tenure; PaymentMethod Electronic check
8665-UTDHZ,57.28,tenure; TotalCharges; InternetService Fiber optic
5248-YGIJN,5.0,Contract Two year; tenure; InternetService Fiber optic
8773-HHUOZ,17.56,InternetService Fiber optic; MonthlyCharges; PaymentMethod Electronic check
3841-NFECX,5.86,Contract Two year; tenure; TotalCharges
4929-XIHVW,72.46,tenure; TotalCharges; InternetService Fiber optic
6827-IEAUQ,6.58,InternetService Fiber optic; tenure; Contract One year
7310-EGVHZ,19.91,tenure; TotalCharges; InternetService Fiber optic
3413-BMNZE,57.47,tenure; TotalCharges; InternetService Fiber optic
6234-RAAPL,6.25,Contract Two year; tenure; TotalCharges
6047-YHPVI,65.09,tenure; InternetService Fiber optic; PaymentMethod Electronic check
