user_id,risk_score,top_risk_factors
1,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
2,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
3,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
4,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
5,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
6,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
7,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
8,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
9,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
10,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
11,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
12,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
13,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
14,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
15,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
16,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
17,98.2,Time spent per session has reduced noticeably; User is using fewer features than before; User sessions have significantly decreased over time
18,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
19,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
20,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
21,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
22,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
23,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
24,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
25,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
26,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
27,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
28,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
29,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
30,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
31,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
32,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
33,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
34,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
35,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
36,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
37,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
38,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
39,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
40,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
41,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
42,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
43,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
44,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
45,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
46,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
47,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
48,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
49,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
50,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
51,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
52,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
53,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
54,1.8,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
55,98.2,User is using fewer features than before; Time spent per session has reduced noticeably; User sessions have significantly decreased over time
